"","date","outdoor_dates","date_ideas","match","romance","intimacy","video_dating","relationships","hookups","kissing","hugging","sex","date_from_home","hinge","bumble","dating_apps","love","online_dating"
"205",2021-04-25,51,56,45,43,76,40,80,72,13,21,74,3,77,35,67,67,48
"206",2021-05-02,56,57,45,41,72,46,79,75,13,19,70,3,80,34,73,67,48
"207",2021-05-09,74,55,42,46,70,57,74,72,13,22,75,2,75,36,72,67,48
"208",2021-05-16,32,54,43,51,69,26,73,71,13,20,75,2,82,37,74,66,48
"209",2021-05-23,49,64,41,52,66,37,70,77,13,21,78,3,80,33,75,66,53
"210",2021-05-30,37,60,44,51,73,47,66,80,14,21,77,3,81,35,81,67,54
"211",2021-06-06,53,64,48,47,69,46,65,81,15,24,77,2,80,32,70,66,49
"212",2021-06-13,69,65,47,49,67,50,63,77,15,23,80,2,80,31,77,68,52
"213",2021-06-20,53,66,45,47,70,47,61,90,15,21,77,3,80,32,76,67,49
"214",2021-06-27,24,67,46,47,69,62,61,78,14,20,85,3,80,35,77,68,53
"215",2021-07-04,29,70,79,50,70,44,63,77,16,21,88,3,80,34,74,71,59
"216",2021-07-11,45,76,46,48,69,51,61,79,15,18,85,3,84,34,76,75,55
"217",2021-07-18,34,72,44,45,75,57,62,76,14,20,85,3,82,37,77,75,56
"218",2021-07-25,57,75,45,46,65,58,62,79,14,21,82,2,79,33,76,75,61
"219",2021-08-01,16,74,47,45,66,62,59,70,16,21,81,2,80,34,75,79,54
"220",2021-08-08,37,68,41,46,69,47,60,74,52,20,80,2,81,33,74,75,49
"221",2021-08-15,52,70,40,46,75,45,61,71,33,22,80,2,77,31,74,75,52
"222",2021-08-22,33,71,43,43,71,46,66,70,17,19,78,6,83,32,75,72,51
"223",2021-08-29,25,60,45,44,68,50,68,72,14,20,74,3,78,29,75,70,49
"224",2021-09-05,52,67,49,49,70,38,72,68,14,21,76,4,81,32,73,70,50
"225",2021-09-12,46,69,46,47,77,28,77,70,13,21,78,2,80,29,75,68,50
"226",2021-09-19,42,69,46,44,76,40,81,71,13,21,84,2,79,30,77,68,49
"227",2021-09-26,59,75,47,41,74,47,80,63,12,20,77,2,78,29,74,67,47
"228",2021-10-03,34,69,46,41,74,58,79,64,12,19,74,3,83,29,68,66,51
"229",2021-10-10,30,73,47,43,80,56,80,71,15,22,78,3,87,30,77,69,45
"230",2021-10-17,30,76,50,42,81,46,80,62,13,18,75,2,83,30,73,67,51
"231",2021-10-24,21,69,53,42,88,46,85,66,12,20,76,3,82,29,75,72,51
